nct_id,title,url,condition,summary,source,crawl_query,body
NCT01663246,Cross-Sectional Study of Oral Health in Patients After Parotid-Sparing Radiation Therapy for Head and Neck Cancer,https://clinicaltrials.gov/study/NCT01663246,Head and Neck Cancer,"The investigators are conducting research about oral health and saliva to find out more about the impact of radiation therapy on the oral health of patients.

In order to better understand the role of saliva in maintaining oral health in these patients, the investigators will be collecting, storing, and analyzing the quality of saliva, including the protein content, collected from patients following radiation therapy as well as saliva collected from normal healthy adults.",ClinicalTrials.gov,cancer,"Cross-Sectional Study of Oral Health in Patients After Parotid-Sparing Radiation Therapy for Head and Neck Cancer. Conditions: Head and Neck Cancer. The investigators are conducting research about oral health and saliva to find out more about the impact of radiation therapy on the oral health of patients.

In order to better understand the role of saliva in maintaining oral health in these patients, the investigators will be collecting, storing, and analyzing the quality of saliva, including the protein content, collected from patients following radiation therapy as well as saliva collected from normal healthy adults."
NCT04267146,Nivolumab in Combination With Temozolomide and Radiotherapy in Children and Adolescents With Newly Diagnosed High-grade Glioma,https://clinicaltrials.gov/study/NCT04267146,High Grade Glioma,"Multicenter, open label, prospective study including successively a phase I trial and then a phase II trial Phase I : Open label, non-randomized, safety run study in nine patients. In case of safety issue a -1 dose level will be tested.

Phase II : Open label, non randomized, efficacy study of nivolumab in addition to radiotherapy and temozolomide. This phase will start when the RP2D has been defined after the last patients evaluable for DLT achieved the first 6 weeks of treatment (the radio-chemotherapy period) with a DLT rate below 30% during the the phase I study.",ClinicalTrials.gov,cancer,"Nivolumab in Combination With Temozolomide and Radiotherapy in Children and Adolescents With Newly Diagnosed High-grade Glioma. Conditions: High Grade Glioma. Multicenter, open label, prospective study including successively a phase I trial and then a phase II trial Phase I : Open label, non-randomized, safety run study in nine patients. In case of safety issue a -1 dose level will be tested.

Phase II : Open label, non randomized, efficacy study of nivolumab in addition to radiotherapy and temozolomide. This phase will start when the RP2D has been defined after the last patients evaluable for DLT achieved the first 6 weeks of treatment (the radio-chemotherapy period) with a DLT rate below 30% during the the phase I study."
NCT00456846,First Line Therapy for Patients With Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT00456846,Metastatic Breast Cancer,The purpose of this study is to determine the toxicity and anti-tumor activity of nab-paclitaxel 100mg/m\^2 administered weekly in a 4-week cycle as first line therapy to patients with metastatic breast cancer who received taxanes as part of their adjuvant therapy and patients who did not receive taxanes as part of their adjuvant therapy.,ClinicalTrials.gov,cancer,First Line Therapy for Patients With Metastatic Breast Cancer. Conditions: Metastatic Breast Cancer. The purpose of this study is to determine the toxicity and anti-tumor activity of nab-paclitaxel 100mg/m\^2 administered weekly in a 4-week cycle as first line therapy to patients with metastatic breast cancer who received taxanes as part of their adjuvant therapy and patients who did not receive taxanes as part of their adjuvant therapy.
NCT00003627,Radiation Therapy With or Without Combination Chemotherapy in Treating Patients With Advanced Cancer of the Oropharynx or Hypopharynx,https://clinicaltrials.gov/study/NCT00003627,Head and Neck Cancer,"RATIONALE: Radiation therapy uses high-energy x-rays to damage tumor cells. Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining chemotherapy with radiation therapy may kill more tumor cells and allow doctors to preserve the part of the body where the cancer started. It is not yet known whether radiation therapy with combination chemotherapy is more effective than radiation therapy alone in treating cancer of the oropharynx or hypopharynx that cannot be surgically removed.

PURPOSE: Randomized phase III trial to compare the effectiveness of radiation therapy plus cisplatin and fluorouracil with radiation therapy alone in treating patients who have advanced cancer of the oropharynx or hypopharynx that cannot be surgically removed.",ClinicalTrials.gov,cancer,"Radiation Therapy With or Without Combination Chemotherapy in Treating Patients With Advanced Cancer of the Oropharynx or Hypopharynx. Conditions: Head and Neck Cancer. RATIONALE: Radiation therapy uses high-energy x-rays to damage tumor cells. Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining chemotherapy with radiation therapy may kill more tumor cells and allow doctors to preserve the part of the body where the cancer started. It is not yet known whether radiation therapy with combination chemotherapy is more effective than radiation therapy alone in treating cancer of the oropharynx or hypopharynx that cannot be surgically removed.

PURPOSE: Randomized phase III trial to compare the effectiveness of radiation therapy plus cisplatin and fluorouracil with radiation therapy alone in treating patients who have advanced cancer of the oropharynx or hypopharynx that cannot be surgically removed."
NCT04941027,Evaluating Genetic Modifiers of Cutaneous Neurofibromas in Adults With Neurofibromatosis Type 1,https://clinicaltrials.gov/study/NCT04941027,Neurofibromatosis 1,The main goal of this protocol is to develop a well-phenotyped genetic biobank to identify genetic variants associated with the heterogeneous clinical presentations of Neurofibromatosis Type 1 (NF1). This will allow for improve understanding of NF1 pathogenesis and more personalized disease management. The investigators will conduct a GWAS analysis to identify common genetic risk variants associated with the development of cutaneous neurofibromas.,ClinicalTrials.gov,cancer,Evaluating Genetic Modifiers of Cutaneous Neurofibromas in Adults With Neurofibromatosis Type 1. Conditions: Neurofibromatosis 1. The main goal of this protocol is to develop a well-phenotyped genetic biobank to identify genetic variants associated with the heterogeneous clinical presentations of Neurofibromatosis Type 1 (NF1). This will allow for improve understanding of NF1 pathogenesis and more personalized disease management. The investigators will conduct a GWAS analysis to identify common genetic risk variants associated with the development of cutaneous neurofibromas.
NCT04890327,Web-based Family History Tool,https://clinicaltrials.gov/study/NCT04890327,Gynecologic Cancer; Breast Cancer; BRCA1 Mutation; BRCA2 Mutation,"The purpose of this pilot study is to determine if a web-based tool that collects family health history is useful for patients being seen in a gynecologic oncology office setting. This research study is being done because collecting a comprehensive family health history is critical as it allows physicians to appropriately refer patients for genetic counseling and genetic testing. However, prior research indicates that the family health history collected in clinical settings is often inadequate to truly assess the risk of genetic disease. Therefore we plan to explore a web-based program that guides patients through the collection of their family health history and uses this information to create clear concise pedigrees (family tree information) and risk assessment models that can be used by a physician during the office visit.",ClinicalTrials.gov,cancer,"Web-based Family History Tool. Conditions: Gynecologic Cancer; Breast Cancer; BRCA1 Mutation; BRCA2 Mutation. The purpose of this pilot study is to determine if a web-based tool that collects family health history is useful for patients being seen in a gynecologic oncology office setting. This research study is being done because collecting a comprehensive family health history is critical as it allows physicians to appropriately refer patients for genetic counseling and genetic testing. However, prior research indicates that the family health history collected in clinical settings is often inadequate to truly assess the risk of genetic disease. Therefore we plan to explore a web-based program that guides patients through the collection of their family health history and uses this information to create clear concise pedigrees (family tree information) and risk assessment models that can be used by a physician during the office visit."
NCT06897527,A Study to Evaluate the Safety of Dostarlimab in Adult Participants in India With Recurrent or Advanced Endometrial Cancer (EC),https://clinicaltrials.gov/study/NCT06897527,"Neoplasms, Endometrial",The goal of this study is to evaluate the safety profile of dostarlimab in Indian adults with recurrent or advanced endometrial cancer.,ClinicalTrials.gov,cancer,"A Study to Evaluate the Safety of Dostarlimab in Adult Participants in India With Recurrent or Advanced Endometrial Cancer (EC). Conditions: Neoplasms, Endometrial. The goal of this study is to evaluate the safety profile of dostarlimab in Indian adults with recurrent or advanced endometrial cancer."
NCT06914427,PET/CT Imaging Study With Simultaneous Dual-nuclide Imaging Technique,https://clinicaltrials.gov/study/NCT06914427,Prostatic Neoplasms; Glioma; PARKINSON DISEASE (Disorder),"This is a study using a parallel control approach and is expected to recruit 35 volunteers, including 8 prostate cancer patients, 8 neuroendocrine tumour patients, 8 glioma patients, 8 Parkinson's syndrome patients, and 3 normal volunteers, to undergo dual-nuclide PET/CT imaging and to validate the isolation effect and quantitative accuracy of simultaneous dual-nuclide imaging in humans.",ClinicalTrials.gov,cancer,"PET/CT Imaging Study With Simultaneous Dual-nuclide Imaging Technique. Conditions: Prostatic Neoplasms; Glioma; PARKINSON DISEASE (Disorder). This is a study using a parallel control approach and is expected to recruit 35 volunteers, including 8 prostate cancer patients, 8 neuroendocrine tumour patients, 8 glioma patients, 8 Parkinson's syndrome patients, and 3 normal volunteers, to undergo dual-nuclide PET/CT imaging and to validate the isolation effect and quantitative accuracy of simultaneous dual-nuclide imaging in humans."
NCT06150027,Efficacy of a Systematic Referral to Palliative Care of Patients Who Need for Palliative Care During an Unscheduled Visit in Comprehensive Anticancer Centers,https://clinicaltrials.gov/study/NCT06150027,Cancer; Emergencies,"This is a randomized, multicenter, prospective, phase III study conducted in daily emergency rooms of French Regional Comprehensive Cancer Centers.

In the standard arm, patients will be managed regardless of their PALLIA-10 score, following conventional strategy. In the experimental arm, patients will be systematically referred to a palliative care team.",ClinicalTrials.gov,cancer,"Efficacy of a Systematic Referral to Palliative Care of Patients Who Need for Palliative Care During an Unscheduled Visit in Comprehensive Anticancer Centers. Conditions: Cancer; Emergencies. This is a randomized, multicenter, prospective, phase III study conducted in daily emergency rooms of French Regional Comprehensive Cancer Centers.

In the standard arm, patients will be managed regardless of their PALLIA-10 score, following conventional strategy. In the experimental arm, patients will be systematically referred to a palliative care team."
NCT00005027,Rebeccamycin Analog in Treating Patients With Advanced Kidney Cancer,https://clinicaltrials.gov/study/NCT00005027,Kidney Cancer,"RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die.

PURPOSE: Phase II trial to study the effectiveness of rebeccamycin analog in treating patients who have advanced kidney cancer.",ClinicalTrials.gov,cancer,"Rebeccamycin Analog in Treating Patients With Advanced Kidney Cancer. Conditions: Kidney Cancer. RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die.

PURPOSE: Phase II trial to study the effectiveness of rebeccamycin analog in treating patients who have advanced kidney cancer."
